rank,label_file,image_id,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
11,cate7-00002_jpg.rf.f08b4f058e2184b7ecb9b193c5634d7b.txt,cate7-00002,29,0,-,3,"36, 41, 46",4,0,True,"48: expected image-lower (y>=0.45), got y=0.349; 47: expected image-lower (y>=0.45), got y=0.422; 37: expected image-lower (y>=0.45), got y=0.426; 38: expected image-lower (y>=0.45), got y=0.365",8.15,single_axis_position,"single_axis_position(+8.0), missing_codes(+0.15)"
12,cate7-00002_jpg.rf.261b61cdff53632dae102509f163d684.txt,cate7-00002,29,0,-,3,"36, 41, 46",4,0,True,"48: expected image-lower (y>=0.45), got y=0.369; 47: expected image-lower (y>=0.45), got y=0.443; 37: expected image-lower (y>=0.45), got y=0.447; 38: expected image-lower (y>=0.45), got y=0.384",8.15,single_axis_position,"single_axis_position(+8.0), missing_codes(+0.15)"
13,cate6-00065_jpg.rf.d1e79ad9990982e950ae2c9885d88088.txt,cate6-00065,30,1,36x2,3,"17, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.303; expected image-lower (y>=0.45), got y=0.402",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
14,cate6-00065_jpg.rf.098061df411a43ab45e50349d23fc1aa.txt,cate6-00065,30,1,36x2,3,"17, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.296; expected image-lower (y>=0.45), got y=0.385",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
15,cate6-00014_jpg.rf.f5f234a504b228381e83f552218fb23d.txt,cate6-00014,30,1,36x2,3,"14, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.432; expected image-lower (y>=0.45), got y=0.396",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
16,cate6-00014_jpg.rf.7f16a15b6dfcdc9c6faaaba7a56a8f13.txt,cate6-00014,30,1,36x2,3,"14, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.428; expected image-lower (y>=0.45), got y=0.405",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
17,cate6-00065_jpg.rf.2c543260f3d2116dc86c6bac2da6b296.txt,cate6-00065,30,1,36x2,3,"17, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.293; expected image-lower (y>=0.45), got y=0.386",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
18,cate6-00153_jpg.rf.f94a715c895a7cf7a599fd2e89debf93.txt,cate6-00153,32,2,"28x2, 36x2",2,"13, 38",1,0,False,"28: expected image-right (x>=0.45), got x=0.387",8.1,duplicate_codes,"duplicate_codes(+6.0), single_axis_position(+2.0), missing_codes(+0.10)"
19,cate6-00075_jpg.rf.ca4afe79ad1594b3fb8c3c41a72cfb10.txt,cate6-00075,32,1,36x2,1,13,1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.417; expected image-lower (y>=0.45), got y=0.312",8.05,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.05)"
20,cate6-00075_jpg.rf.39824d1ea3d6b29da81b5277f0c911a7.txt,cate6-00075,32,1,36x2,1,13,1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.445; expected image-lower (y>=0.45), got y=0.341",8.05,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.05)"
21,cate6-00075_jpg.rf.04c5dcc3e38725ebba32acd18aa69be8.txt,cate6-00075,32,1,36x2,1,13,1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.444; expected image-lower (y>=0.45), got y=0.341",8.05,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.05)"
22,cate5-00055_jpg.rf.f5ab103c5396aeb1587b0fd641ffb289.txt,cate5-00055,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
23,cate5-00019_jpg.rf.bcdce9a4ab87397f4e1ede7d00f15ec6.txt,cate5-00019,1,0,-,31,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
24,cate5-00019_jpg.rf.fa71179da0124d7c00ded63f57c87304.txt,cate5-00019,1,0,-,31,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
25,cate5-00019_jpg.rf.0bdea403aa040379bfc678546ea3137e.txt,cate5-00019,1,0,-,31,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
26,cate5-00055_jpg.rf.dfb8e53a29ac753bfafd430a73efbf33.txt,cate5-00055,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
27,cate5-00091_jpg.rf.65104d1b7286594e8e4a5d70e9550a09.txt,cate5-00091,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
28,cate5-00091_jpg.rf.dc0758bbcdd56f20746a77e7c8a75da1.txt,cate5-00091,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
29,cate5-00091_jpg.rf.e7083649281ecdc5d8d8c8f7857ef625.txt,cate5-00091,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
30,cate5-00055_jpg.rf.5182bc213333ceae7598c178b0cc42ff.txt,cate5-00055,1,0,-,31,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.55,sparse_annotation,"missing_codes(+1.55), sparse_annotation(+5.0)"
31,cate10-00078_jpg.rf.41e9196b8b1d01a990eaf842bb5c273e.txt,cate10-00078,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 34, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
32,cate5-00007_jpg.rf.875910a4429adb2f8a817ac772717e58.txt,cate5-00007,2,0,-,30,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
33,cate10-00078_jpg.rf.cad2e108428fef369c64e5f495ac4861.txt,cate10-00078,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 34, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
