rank,label_file,image_id,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
50,cate5-00025_jpg.rf.bfed93c6718d8e4fa12fdf802d73928d.txt,cate5-00025,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
51,cate5-00025_jpg.rf.187fe183453918816a59135b523c95ef.txt,cate5-00025,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
52,cate5-00025_jpg.rf.0e752b93c0c1391f4673d67543e73856.txt,cate5-00025,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
53,cate10-00048_jpg.rf.0c9e999cd4d1cb1347288a687b997f23.txt,cate10-00048,6,0,-,26,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 34, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.3,sparse_annotation,"missing_codes(+1.30), sparse_annotation(+5.0)"
54,cate8-00191_jpg.rf.af4a0d06688f24f3fdf2304c4e23607e.txt,cate8-00191,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 38, 41, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
55,cate5-00109_jpg.rf.b228b13645b1197647b308d0c2250412.txt,cate5-00109,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
56,cate10-00066_jpg.rf.258590bede3b77924430f33914476a9a.txt,cate10-00066,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
57,cate10-00066_jpg.rf.8355b9cd10e8f695c8c144f96f578c72.txt,cate10-00066,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
58,cate10-00066_jpg.rf.c1d56f5d8a5857b0c54d55c5760fec64.txt,cate10-00066,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
59,cate8-00191_jpg.rf.856a6afd259fc24434201fdf1c9b37a0.txt,cate8-00191,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 38, 41, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
60,cate5-00109_jpg.rf.427468e498777c6dbb3fc098cf5ec11e.txt,cate5-00109,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
61,cate8-00191_jpg.rf.6a5a2a0a3cc8b967672423b048cfaabf.txt,cate8-00191,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 36, 37, 38, 41, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
62,cate5-00109_jpg.rf.efd2e021595b4237e2d25c0b186cf96b.txt,cate5-00109,7,0,-,25,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 35, 36, 37, 38, 44, 45, 46, 47, 48",0,0,False,-,6.25,sparse_annotation,"missing_codes(+1.25), sparse_annotation(+5.0)"
63,cate7-00112_jpg.rf.e3a3f0e8c30d32171c474fc4b65abb24.txt,cate7-00112,29,0,-,3,"15, 36, 44",3,0,True,"26: expected image-upper (y<=0.55), got y=0.552; 24: expected image-upper (y<=0.55), got y=0.551; 23: expected image-upper (y<=0.55), got y=0.555",6.15,single_axis_position,"single_axis_position(+6.0), missing_codes(+0.15)"
64,cate4-00082_jpg.rf.0d143bf04358ac1bc4a8fd08dc77c4a7.txt,cate4-00082,32,0,-,0,-,3,0,True,"14: expected image-upper (y<=0.55), got y=0.552; 13: expected image-upper (y<=0.55), got y=0.570; 23: expected image-upper (y<=0.55), got y=0.578",6.0,single_axis_position,single_axis_position(+6.0)
65,cate4-00082_jpg.rf.12e20d9ca0d91e1bb95ca9b725394abc.txt,cate4-00082,32,0,-,0,-,3,0,True,"14: expected image-upper (y<=0.55), got y=0.551; 13: expected image-upper (y<=0.55), got y=0.569; 23: expected image-upper (y<=0.55), got y=0.576",6.0,single_axis_position,single_axis_position(+6.0)
66,cate8-00293_jpg.rf.2ffa30334a6f21e3b8b37f949b769f7c.txt,cate8-00293,31,1,26x2,2,"36, 46",1,0,False,"26: expected image-upper (y<=0.55), got y=0.554",5.1,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.10)"
