fdi_code,n,x_std,y_std,x_iqr,y_iqr
11,901,0.019325604270565646,0.04714470883848719,0.02265624999999999,0.06640625
12,892,0.02226894715967707,0.048980816367148246,0.02421875000000001,0.06718750000000001
13,906,0.02147638075547628,0.04835386372870535,0.02421875000000001,0.06406250000000002
14,841,0.02254285767133302,0.04626763952939685,0.02656249999999999,0.05859375
15,844,0.02455359936024515,0.046525938456503914,0.029882812499999967,0.06093750000000003
16,834,0.029506355144857447,0.04927286863160337,0.03671875000000002,0.0625
17,902,0.03166786032076067,0.05326460924232087,0.0390625,0.0693359375
18,692,0.03437330202262477,0.06424308068259164,0.04316406249999999,0.0869140625
21,899,0.019533332984843076,0.04662032396061112,0.022656250000000044,0.06367187499999993
22,884,0.020627359903277603,0.04755803846866457,0.0234375,0.06796874999999997
23,923,0.027637321903252035,0.052375960871736835,0.025781249999999978,0.06718750000000001
24,840,0.023202165139518158,0.04781677686929648,0.02734375,0.05781249999999999
25,830,0.02456754494324693,0.04667358945298029,0.028906250000000022,0.0625
26,818,0.027699375208028936,0.051894231046955036,0.03281250000000002,0.06171874999999999
27,894,0.03148182228316757,0.05286835892172685,0.038281250000000044,0.0703125
28,710,0.03774479088106947,0.06423178001654842,0.04531249999999998,0.08789062500000006
31,971,0.020007130180948785,0.043907905620162446,0.022656250000000044,0.061328124999999956
32,978,0.021866152403479513,0.04651647040419941,0.024218750000000067,0.06015625000000002
33,1001,0.023404397827714925,0.05065277123252038,0.026562500000000044,0.055468749999999956
34,940,0.024572935297877737,0.04419992309638704,0.028124999999999956,0.057812500000000044
35,871,0.026588943263849696,0.04339005907046278,0.03203125000000007,0.05703124999999998
36,696,0.04896379726375166,0.05313254263450401,0.03515625,0.056445312499999956
37,822,0.03357262391781202,0.0486386832712733,0.04140624999999998,0.06093749999999998
38,707,0.0356703452078909,0.05159122622554093,0.041015625,0.06132812500000007
41,974,0.025370984031818408,0.04472908901651729,0.023437500000000056,0.0615234375
42,981,0.020231779177206522,0.04373896929512922,0.022656250000000044,0.06015624999999991
43,986,0.02135311604515024,0.050178225745012475,0.025585937500000044,0.05605468749999987
44,939,0.022907519802909268,0.04495702879969368,0.02734375,0.0546875
45,874,0.024956824445968296,0.04541320403617341,0.029687499999999978,0.0546875
46,696,0.027738666455230356,0.04137721284589898,0.03281250000000002,0.05175781250000011
47,824,0.028942136230304557,0.04837566091070048,0.03515625,0.06328124999999996
48,693,0.031174705494354766,0.0518933530884027,0.0390625,0.06093749999999998
