classifier,tooth_group,accuracy_mean,accuracy_ci95,n_instances
logistic_regression,Canine,0.633185660476191,0.05461505606496859,3827
logistic_regression,Incisor,0.5947966334447585,0.013145015423352635,7517
logistic_regression,Molar,0.7928053840244131,0.01762086915521567,9252
logistic_regression,Premolar,0.610927557917786,0.03981655736788804,6973
gradient_boosted_tree,Canine,0.6514581570693536,0.03099727129054677,3827
gradient_boosted_tree,Incisor,0.6327258322128507,0.015260928747928657,7517
gradient_boosted_tree,Molar,0.7859731244020773,0.01367653617649359,9252
gradient_boosted_tree,Premolar,0.6649676644095398,0.02294768426235753,6973
