dataset,convention,gbt_top1_mean,gbt_top1_ci95,logreg_top1_mean,logreg_top1_ci95
UFBA-425,FDI,0.694879109601514,0.007664611549991496,0.6706293571596078,0.009526966635550952
UFBA-425,Universal,0.6954251879400905,0.013944614180445106,0.6706604228792177,0.009743459072634873
UFBA-425,Palmer,0.6954326470224677,0.013992830337328895,0.6706604228792177,0.009743459072634873
DENTEX,FDI,0.6846521791068026,0.012375166166730543,0.6129025349072224,0.017987947580903968
DENTEX,Universal,0.6818196192361927,0.013139811699310281,0.6129944677962132,0.017990349363527964
DENTEX,Palmer,0.6810705802207637,0.012263787950238195,0.6130404342407088,0.01799290802993342
