noise_std,classifier,top1_acc_mean,top1_acc_ci95,majority_baseline_acc_mean
0.0,gradient_boosted_tree,0.694879109601514,0.007663382799445114,0.03627435516025027
0.01,gradient_boosted_tree,0.6108945102951886,0.008596568373861836,0.03627435516025027
0.02,gradient_boosted_tree,0.4948121111470768,0.012938434471843917,0.03627435516025027
0.04,gradient_boosted_tree,0.3484360710732141,0.009421028213587304,0.03627435516025027
0.08,gradient_boosted_tree,0.20669428312151633,0.010466692707544259,0.03627435516025027
0.16,gradient_boosted_tree,0.10779309200295299,0.004511003048744634,0.03627435516025027
0.32,gradient_boosted_tree,0.061538287842155814,0.0019105685209941678,0.03627435516025027
0.0,logistic_regression,0.6706293571596078,0.009525439321950982,0.03627435516025027
0.01,logistic_regression,0.5812056954845465,0.007586329430130422,0.03627435516025027
0.02,logistic_regression,0.454385616261734,0.009552293086193042,0.03627435516025027
0.04,logistic_regression,0.29101818590598355,0.004066337357270594,0.03627435516025027
0.08,logistic_regression,0.16242739145219515,0.00540592111113775,0.03627435516025027
0.16,logistic_regression,0.09083277804918287,0.003437805432132876,0.03627435516025027
0.32,logistic_regression,0.05587206905243632,0.004767460198286364,0.03627435516025027
