model,estimate_pp,ci_low_pp,ci_high_pp,p_value
naive_pooled_instances,-6.068482567093225,,,
crossed_image_seed_no_covariate,-3.578771171433736,-7.86722050253785,0.7096781596703787,0.10191967372542927
crossed_image_seed_plus_log_teeth_count,-3.908421174117834,-8.221080809885699,0.4042384616500305,0.07569160350437716
log_teeth_count_coefficient,-0.9620672825655874,-2.3172314997605405,0.3930969346293658,0.16409483166271488
