stratum,classifier,pooled_n,min_seed_n,top1_acc_mean,top1_acc_ci95,quadrant_acc_mean,quadrant_acc_ci95,tooth_type_acc_mean,tooth_type_acc_ci95,too_small
canonical,gradient_boosted_tree,20229,3968,0.6826840377233785,0.01455570066436822,0.9815013526680747,0.002500205610358048,0.6980720035899842,0.014084427484495858,False
canonical,logistic_regression,20229,3968,0.6079953126913947,0.020150967322644566,0.9827933618982081,0.0012848000909207453,0.6214021203510223,0.021298896893875933,False
dissociation,gradient_boosted_tree,1291,210,0.6194552135517063,0.05306584351159873,0.9483703446116248,0.013768672741086315,0.6509077458440061,0.051222348170016634,False
dissociation,logistic_regression,1291,210,0.5505781368575831,0.04421168327469575,0.9531994036057393,0.012931285273349294,0.5790558263066422,0.03664385970471335,False
impacted,gradient_boosted_tree,614,109,0.9144493912211843,0.04154091136792405,0.978966716648617,0.011711892510278816,0.9339442130341056,0.04149266215663463,False
impacted,logistic_regression,614,109,0.9439776578501592,0.028653900188217906,0.988912071839874,0.010529572393852002,0.955065586010285,0.02771450781804546,False
