top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test,seed,classifier,stratum
0.6103766525318034,0.9825392866051385,0.6233474681965577,0.03741581441756049,0.03137003841229193,0.8341869398207427,4009,0,logistic_regression,canonical
0.5,0.9533898305084746,0.538135593220339,0.0635593220338983,0.05084745762711865,0.8050847457627118,236,0,logistic_regression,dissociation
0.9565217391304348,0.991304347826087,0.9652173913043478,0.0,0.0,0.6,115,0,logistic_regression,impacted
0.6986779745572462,0.9825392866051385,0.7128959840359191,0.03741581441756049,0.041390728476821195,0.8683774834437086,4009,0,gradient_boosted_tree,canonical
0.5508474576271186,0.9449152542372882,0.5889830508474576,0.0635593220338983,0.05660377358490566,0.7547169811320755,236,0,gradient_boosted_tree,dissociation
0.9304347826086956,0.9652173913043478,0.9652173913043478,0.0,0.0,0.5,115,0,gradient_boosted_tree,impacted
0.6263600395647874,0.9814540059347181,0.6421859545004945,0.039317507418397624,0.04169424222369292,0.8272667107875579,4044,1,logistic_regression,canonical
0.5826771653543307,0.9488188976377953,0.610236220472441,0.027559055118110236,0.03773584905660377,0.8113207547169812,254,1,logistic_regression,dissociation
0.9153846153846154,0.9769230769230769,0.9384615384615385,0.0,0.0,0.36363636363636365,130,1,logistic_regression,impacted
0.6862017804154302,0.981948565776459,0.701780415430267,0.039317507418397624,0.046493301812450746,0.8439716312056738,4044,1,gradient_boosted_tree,canonical
0.6653543307086615,0.9448818897637795,0.7047244094488189,0.027559055118110236,0.047058823529411764,0.788235294117647,254,1,gradient_boosted_tree,dissociation
0.8846153846153846,0.9769230769230769,0.9,0.0,0.0,0.8,130,1,gradient_boosted_tree,impacted
0.6081149193548387,0.9841229838709677,0.6217237903225806,0.03704637096774194,0.033440514469453377,0.8186495176848875,3968,2,logistic_regression,canonical
0.5714285714285714,0.9380952380952381,0.5952380952380952,0.04285714285714286,0.011111111111111112,0.6777777777777778,210,2,logistic_regression,dissociation
0.9724770642201835,0.9908256880733946,0.981651376146789,0.0,0.0,0.3333333333333333,109,2,logistic_regression,impacted
0.6829637096774194,0.9836189516129032,0.6968245967741935,0.03704637096774194,0.04213036565977742,0.8545310015898251,3968,2,gradient_boosted_tree,canonical
0.6190476190476191,0.9333333333333333,0.6476190476190476,0.04285714285714286,0.0125,0.5875,210,2,gradient_boosted_tree,dissociation
0.963302752293578,0.9908256880733946,0.9724770642201835,0.0,0.0,0.75,109,2,gradient_boosted_tree,impacted
0.5818639798488665,0.982367758186398,0.5944584382871536,0.03828715365239295,0.030120481927710843,0.8096385542168675,3970,3,logistic_regression,canonical
0.5722543352601156,0.9624277456647399,0.5924855491329479,0.05202312138728324,0.02702702702702703,0.7837837837837838,346,3,logistic_regression,dissociation
0.9492753623188406,0.9855072463768116,0.9637681159420289,0.0,0.0,0.5714285714285714,138,3,logistic_regression,impacted
0.6662468513853904,0.9811083123425692,0.681360201511335,0.03828715365239295,0.0430188679245283,0.8535849056603774,3970,3,gradient_boosted_tree,canonical
0.6416184971098265,0.9595375722543352,0.6560693641618497,0.05202312138728324,0.024193548387096774,0.7983870967741935,346,3,gradient_boosted_tree,dissociation
0.8840579710144928,0.9782608695652174,0.9057971014492754,0.0,0.0,0.625,138,3,gradient_boosted_tree,impacted
0.6132609721566776,0.9834827748938179,0.6252949504483247,0.038225578102878716,0.02989627821842587,0.8273337400854179,4238,4,logistic_regression,canonical
0.5265306122448979,0.963265306122449,0.5591836734693878,0.0326530612244898,0.05172413793103448,0.7586206896551724,245,4,logistic_regression,dissociation
0.9262295081967213,1.0,0.9262295081967213,0.0,0.0,0.7777777777777778,122,4,logistic_regression,impacted
0.6793298725814063,0.9782916470033034,0.6974988201982067,0.038225578102878716,0.049300956585724795,0.8344370860927153,4238,4,gradient_boosted_tree,canonical
0.6204081632653061,0.9591836734693877,0.6571428571428571,0.0326530612244898,0.053763440860215055,0.7526881720430108,245,4,gradient_boosted_tree,dissociation
0.9098360655737705,0.9836065573770492,0.9262295081967213,0.0,0.0,0.7272727272727273,122,4,gradient_boosted_tree,impacted
