classifier,top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test,seed
logistic_regression,0.6129625373477362,0.9811537577568376,0.6272121351413468,0.03792231670880258,0.032660332541567694,0.831353919239905,4351,0
logistic_regression,0.6309226932668329,0.9793697574246203,0.6476989344819769,0.037633189752890504,0.041154791154791155,0.8230958230958231,4411,1
logistic_regression,0.6139611150152261,0.9819629889903959,0.6280159287889435,0.036542515811665496,0.03216019417475728,0.8100728155339806,4269,2
logistic_regression,0.5904783393501805,0.9808212996389891,0.6037906137184116,0.03835740072202166,0.02975206611570248,0.8066115702479338,4432,3
logistic_regression,0.6161879895561357,0.9828111401218451,0.6290252393385553,0.03698868581375109,0.031179138321995464,0.822562358276644,4596,4
gradient_boosted_tree,0.6963916341071018,0.9802344288669271,0.7122500574580556,0.03792231670880258,0.04239212717638153,0.8576835730507192,4351,0
gradient_boosted_tree,0.6896395375198368,0.979596463386987,0.7066424846973476,0.037633189752890504,0.04601899196493791,0.8400292184075968,4411,1
gradient_boosted_tree,0.6858749121574139,0.98126024830171,0.7003982197235886,0.036542515811665496,0.040268456375838924,0.8381804623415362,4269,2
gradient_boosted_tree,0.6696750902527075,0.9794675090252708,0.6847924187725631,0.03835740072202166,0.040983606557377046,0.8469945355191257,4432,3
gradient_boosted_tree,0.6816797214969539,0.9773716275021758,0.7008268059181897,0.03698868581375109,0.04921394395078606,0.8284347231715653,4596,4
