stratum,n,actual_top1_acc,canonical_top1_acc,canonical_reweighted_to_stratum_mix,raw_gap,composition_controlled_residual,fdi_code_coverage_in_canonical
dissociation,1291,0.6219984508133231,0.6826832764842553,0.6855308669178822,-0.06068482567093225,-0.06353241610455918,1.0
impacted,614,0.9120521172638436,0.6826832764842553,0.7410866778784576,0.2293688407795883,0.170965439385386,1.0
