condition,classifier,top1_acc_mean,top1_acc_ci95,quadrant_acc_mean,quadrant_acc_ci95,tooth_type_acc_mean,tooth_type_acc_ci95,majority_baseline_acc_mean,majority_baseline_acc_ci95
full (real),gradient_boosted_tree,0.6846521791068026,0.012375166166730543,0.9795860554166141,0.0017714027123327375,0.700981997313949,0.012745631511094872,0.03748882176182626,0.0009015584361610022
full (real),logistic_regression,0.6129025349072224,0.017987947580903968,0.9812237887865376,0.001603434349907682,0.6271485702938467,0.019357516261510117,0.03748882176182626,0.0009015584361610022
full (shuffled per image),gradient_boosted_tree,0.03652883312281021,0.002654003752019341,0.252053677990276,0.008497053035263161,0.13750930960609004,0.006553567010642959,0.03748882176182626,0.0009015584361610022
full (shuffled per image),logistic_regression,0.04023593835535605,0.004073259533147359,0.2644560910237703,0.009052929047290225,0.15059598889339404,0.007848999907153292,0.03748882176182626,0.0009015584361610022
"position only (x,y)",gradient_boosted_tree,0.6173563728077818,0.008847509292904523,0.972153332410954,0.004357301750548299,0.6368144492602261,0.008349272604206516,0.03748882176182626,0.0009015584361610022
"position only (x,y)",logistic_regression,0.6342026955185599,0.020301726207262522,0.9754690652743896,0.0005597399205997338,0.6520192735708523,0.020392099899398095,0.03748882176182626,0.0009015584361610022
"size only (w,h)",gradient_boosted_tree,0.13358450926234705,0.006635429102730258,0.33857967291969654,0.009298220887472583,0.3346260226807785,0.008397544626695484,0.03748882176182626,0.0009015584361610022
"size only (w,h)",logistic_regression,0.1425018734767959,0.009198485709986097,0.3254741234137,0.008801822247267558,0.35671960465693403,0.011829454351941202,0.03748882176182626,0.0009015584361610022
