metric,point,ci_lo,ci_hi
top1_acc,0.2535211267605634,0.20662608096818622,0.3035732359745517
quadrant_acc,0.44668008048289737,0.40040041067761806,0.4939759036144578
top1_acc_shuffled_control,0.04225352112676056,0.024241202346041057,0.06004639676719297
