condition,classifier,top1_acc_mean,top1_acc_ci95,quadrant_acc_mean,quadrant_acc_ci95,tooth_type_acc_mean,tooth_type_acc_ci95,majority_baseline_acc_mean,majority_baseline_acc_ci95
full (real),gradient_boosted_tree,0.694879109601514,0.007664611549991496,0.9653328744649935,0.00351423724245481,0.71997629330813,0.008388258397637786,0.03627435516025027,0.0019327169548586706
full (real),logistic_regression,0.6706293571596078,0.009526966635550952,0.9677431435617596,0.003228610453830545,0.6919414817411514,0.008415254470004789,0.03627435516025027,0.0019327169548586706
full (shuffled per image),gradient_boosted_tree,0.03237364370473726,0.0032600917443288227,0.24611298484113608,0.0034096936624354304,0.12731898688834417,0.00405613829077489,0.03627435516025027,0.0019327169548586706
full (shuffled per image),logistic_regression,0.035965164824737175,0.0028821971090030947,0.25490990671713837,0.009792114694121359,0.13629187073497928,0.004759992211866877,0.03627435516025027,0.0019327169548586706
"position only (x,y)",gradient_boosted_tree,0.6195531078896948,0.005834042767609232,0.9625092692894853,0.0024935140580739134,0.647267864983384,0.007796711869777474,0.03627435516025027,0.0019327169548586706
"position only (x,y)",logistic_regression,0.6418789585864768,0.013362125863425353,0.9667833392009794,0.003649772554747451,0.6668219418461334,0.013325701589740519,0.03627435516025027,0.0019327169548586706
"size only (w,h)",gradient_boosted_tree,0.14730701599994017,0.005590175351582386,0.34759746180049655,0.0063141455146462225,0.36521414784493766,0.004958190935487926,0.03627435516025027,0.0019327169548586706
"size only (w,h)",logistic_regression,0.15680408849119604,0.007163658584292985,0.3495933499440301,0.011377185213368725,0.3811172736600989,0.010737655090010956,0.03627435516025027,0.0019327169548586706
