top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test,seed,condition,classifier
0.6638135130213076,0.9677654343471135,0.6851211072664359,0.03533054088508469,0.05796316359696641,0.8169014084507042,5491,0,full (real),logistic_regression
0.6927699872518667,0.9661263886359497,0.7186304862502276,0.03533054088508469,0.07528156490812092,0.8417308832246592,5491,0,full (real),gradient_boosted_tree
0.0364232380258605,0.24895283190675652,0.13531232926607176,0.03533054088508469,0.03647703647703648,0.05877905877905878,5491,0,full (shuffled per image),logistic_regression
0.036059005645601896,0.2476780185758514,0.1307594245128392,0.03533054088508469,0.03457396561496316,0.06234649537124504,5491,0,full (shuffled per image),gradient_boosted_tree
0.6472409397195411,0.9668548533964669,0.6729193225277728,0.03533054088508469,0.06040268456375839,0.853381517811048,5491,0,"position only (x,y)",logistic_regression
0.6204698597705336,0.962666181023493,0.6490621016208341,0.03533054088508469,0.05854126679462572,0.8469289827255279,5491,0,"position only (x,y)",gradient_boosted_tree
0.15425241303951923,0.350391549808778,0.3833545802221818,0.03533054088508469,0.1703273040482343,0.15051679586563307,5491,0,"size only (w,h)",logistic_regression
0.14824257876525224,0.34693134219632127,0.370242214532872,0.03533054088508469,0.16762882189437675,0.1447509087021595,5491,0,"size only (w,h)",gradient_boosted_tree
0.6637963309621865,0.9651815799326096,0.6871958068139273,0.03706476974915762,0.06180400890868597,0.8006681514476615,5342,1,full (real),logistic_regression
0.6937476600524148,0.9627480344440285,0.7199550730063646,0.03706476974915762,0.08007334963325183,0.8172371638141809,5342,1,full (real),gradient_boosted_tree
0.03687757394234369,0.2648820666417072,0.14245600898539873,0.03706476974915762,0.03984450923226433,0.0783284742468416,5342,1,full (shuffled per image),logistic_regression
0.02995132909022838,0.24597529015350056,0.1257955821789592,0.03706476974915762,0.03473562331146276,0.059243535314550365,5342,1,full (shuffled per image),gradient_boosted_tree
0.6400224634968177,0.9661175589666792,0.6641707225758143,0.03706476974915762,0.058242329693187725,0.8497139885595424,5342,1,"position only (x,y)",logistic_regression
0.6136278547360539,0.9621864470235867,0.6403968551104455,0.03706476974915762,0.05910852713178295,0.8449612403100775,5342,1,"position only (x,y)",gradient_boosted_tree
0.15724447772369898,0.34312991388992886,0.3854361662298765,0.03706476974915762,0.16548200799644602,0.1574855619724567,5342,1,"size only (w,h)",logistic_regression
0.14264320479221265,0.3399475851740921,0.35941594908274055,0.03706476974915762,0.15698689956331877,0.13820960698689957,5342,1,"size only (w,h)",gradient_boosted_tree
0.6824798766912142,0.9715704743963007,0.7023462921733173,0.034594964891248504,0.05609492988133765,0.8171521035598706,5839,2,full (real),logistic_regression
0.7025175543757493,0.9681452303476623,0.725295427299195,0.034594964891248504,0.07541738629821532,0.8399539435808866,5839,2,full (real),gradient_boosted_tree
0.033738653879088885,0.2457612604898099,0.1318718958725809,0.034594964891248504,0.03403048564338887,0.06433888691953209,5839,2,full (shuffled per image),logistic_regression
0.03408117828395273,0.24182222983387566,0.12245247473882515,0.034594964891248504,0.0299645390070922,0.05797872340425532,5839,2,full (shuffled per image),gradient_boosted_tree
0.6547353998972427,0.971056687789005,0.6768282240109608,0.034594964891248504,0.053075396825396824,0.8745039682539683,5839,2,"position only (x,y)",logistic_regression
0.6208254838157219,0.9652337729063196,0.6477136495975339,0.034594964891248504,0.05871725383920506,0.8563685636856369,5839,2,"position only (x,y)",gradient_boosted_tree
0.16269909231032711,0.3599931495119027,0.39133413255694466,0.034594964891248504,0.1781550419308652,0.15851912456535078,5839,2,"size only (w,h)",logistic_regression
0.15327967117657132,0.3488611063538277,0.3642747045727008,0.034594964891248504,0.1672734627831715,0.14279935275080907,5839,2,"size only (w,h)",gradient_boosted_tree
0.6719066937119675,0.9655172413793104,0.6942190669371197,0.03583502366463827,0.056156620298815046,0.8160741885625966,5916,3,full (real),logistic_regression
0.6989519945909398,0.9619675456389453,0.7265043948613928,0.03583502366463827,0.07411566535654127,0.8169567658618754,5916,3,full (real),gradient_boosted_tree
0.033637592968221774,0.25456389452332656,0.1359026369168357,0.03583502366463827,0.0363827182088508,0.0655938429246108,5916,3,full (shuffled per image),logistic_regression
0.030256930358350236,0.2491548343475321,0.12829614604462475,0.03583502366463827,0.034338504444831795,0.05996165243158445,5916,3,full (shuffled per image),gradient_boosted_tree
0.6418187964841109,0.9628127112914131,0.6707234617985125,0.03583502366463827,0.06182161396885323,0.8334119867862199,5916,3,"position only (x,y)",logistic_regression
0.6260987153482083,0.9596010818120352,0.656524678837052,0.03583502366463827,0.05831826401446655,0.8318264014466547,5916,3,"position only (x,y)",gradient_boosted_tree
0.14841108857336038,0.33789722785665993,0.3688302907369844,0.03583502366463827,0.16752679634775705,0.14211988884477966,5916,3,"size only (w,h)",logistic_regression
0.14300202839756593,0.3541244083840433,0.3649425287356322,0.03583502366463827,0.16055226824457594,0.15325443786982249,5916,3,"size only (w,h)",gradient_boosted_tree
0.6711503714113631,0.9686809877534631,0.6908251355149568,0.03854647661112227,0.05616605616605617,0.7887667887667887,4981,4,full (real),logistic_regression
0.6864083517365991,0.9676771732583819,0.7094960851234692,0.03854647661112227,0.06914212548015365,0.8277848911651728,4981,4,full (real),gradient_boosted_tree
0.03914876530817105,0.26038948002409157,0.13591648263400924,0.03854647661112227,0.03468449644797326,0.06560802340158796,4981,4,full (shuffled per image),logistic_regression
0.031519775145553104,0.2459345512949207,0.1292913069664726,0.03854647661112227,0.02943615257048093,0.061774461028192375,4981,4,full (shuffled per image),gradient_boosted_tree
0.6255771933346718,0.9670748845613331,0.6494679783176069,0.03854647661112227,0.05308310991957105,0.8498659517426274,4981,4,"position only (x,y)",logistic_regression
0.6167436257779563,0.9628588636819916,0.642642039751054,0.03854647661112227,0.05238344683080147,0.8418019905709796,4981,4,"position only (x,y)",gradient_boosted_tree
0.16141337080907447,0.356554908652881,0.3766311985545071,0.03854647661112227,0.16327507780703854,0.15705051472348575,4981,4,"size only (w,h)",logistic_regression
0.14936759686809878,0.34812286689419797,0.3671953423007428,0.03854647661112227,0.16473920226575406,0.14727401463299505,4981,4,"size only (w,h)",gradient_boosted_tree
